pattern_9_bits,ego_x_component,ego_y_component
0 0 1 1 1 0 0 0 0,740.0000,0.0000
0 0 1 1 1 0 0 0 1,740.0000,0.0000
0 0 1 1 1 0 0 1 0,740.0000,740.0000
0 0 1 1 1 0 0 1 1,740.0000,740.0000
0 0 1 1 1 0 1 0 0,740.0000,0.0000
0 0 1 1 1 0 1 0 1,740.0000,0.0000
0 0 1 1 1 0 1 1 0,740.0000,740.0000
0 0 1 1 1 0 1 1 1,740.0000,740.0000
0 0 1 1 1 1 0 0 0,0.0000,0.0000
0 0 1 1 1 1 0 0 1,0.0000,0.0000
0 0 1 1 1 1 0 1 0,0.0000,740.0000
0 0 1 1 1 1 0 1 1,0.0000,740.0000
0 0 1 1 1 1 1 0 0,0.0000,0.0000
0 0 1 1 1 1 1 0 1,0.0000,0.0000
0 0 1 1 1 1 1 1 0,0.0000,740.0000
0 0 1 1 1 1 1 1 1,0.0000,740.0000
0 1 0 0 0 0 0 0 0,0.0000,-740.0000
0 1 0 0 0 0 0 0 1,0.0000,-740.0000
0 1 0 0 0 0 0 1 0,0.0000,0.0000
0 1 0 0 0 0 0 1 1,0.0000,0.0000
0 1 0 0 0 0 1 0 0,0.0000,-740.0000
0 1 0 0 0 0 1 0 1,0.0000,-740.0000
0 1 0 0 0 0 1 1 0,0.0000,0.0000
0 1 0 0 0 0 1 1 1,0.0000,0.0000
0 1 0 0 0 1 0 0 0,-740.0000,-740.0000
0 1 0 0 0 1 0 0 1,-740.0000,-740.0000
0 1 0 0 0 1 0 1 0,-740.0000,0.0000
0 1 0 0 0 1 0 1 1,-740.0000,0.0000
0 1 0 0 0 1 1 0 0,-740.0000,-740.0000
0 1 0 0 0 1 1 0 1,-740.0000,-740.0000
0 1 0 0 0 1 1 1 0,-740.0000,0.0000
0 1 0 0 0 1 1 1 1,-740.0000,0.0000
0 1 0 0 1 0 0 0 0,0.0000,-740.0000
0 1 0 0 1 0 0 0 1,0.0000,-740.0000
0 1 0 0 1 0 0 1 0,0.0000,0.0000
0 1 0 0 1 0 0 1 1,0.0000,0.0000
0 1 0 0 1 0 1 0 0,0.0000,-740.0000
0 1 0 0 1 0 1 0 1,0.0000,-740.0000
0 1 0 0 1 0 1 1 0,0.0000,0.0000
0 1 0 0 1 0 1 1 1,0.0000,0.0000
0 1 0 0 1 1 0 0 0,-740.0000,-740.0000
0 1 0 0 1 1 0 0 1,-740.0000,-740.0000
0 1 0 0 1 1 0 1 0,-740.0000,0.0000
0 1 0 0 1 1 0 1 1,-740.0000,0.0000
0 1 0 0 1 1 1 0 0,-740.0000,-740.0000
0 1 0 0 1 1 1 0 1,-740.0000,-740.0000
0 1 0 0 1 1 1 1 0,-740.0000,0.0000
0 1 0 0 1 1 1 1 1,-740.0000,0.0000
0 1 0 1 0 0 0 0 0,740.0000,-740.0000
0 1 0 1 0 0 0 0 1,740.0000,-740.0000
0 1 0 1 0 0 0 1 0,740.0000,0.0000
0 1 0 1 0 0 0 1 1,740.0000,0.0000
0 1 0 1 0 0 1 0 0,740.0000,-740.0000
0 1 0 1 0 0 1 0 1,740.0000,-740.0000
0 1 0 1 0 0 1 1 0,740.0000,0.0000
0 1 0 1 0 0 1 1 1,740.0000,0.0000
0 1 0 1 0 1 0 0 0,0.0000,-740.0000
0 1 0 1 0 1 0 0 1,0.0000,-740.0000
0 1 0 1 0 1 0 1 0,0.0000,0.0000
0 1 0 1 0 1 0 1 1,0.0000,0.0000
0 1 0 1 0 1 1 0 0,0.0000,-740.0000
0 1 0 1 0 1 1 0 1,0.0000,-740.0000
0 1 0 1 0 1 1 1 0,0.0000,0.0000
0 1 0 1 0 1 1 1 1,0.0000,0.0000
0 1 0 1 1 0 0 0 0,740.0000,-740.0000
0 1 0 1 1 0 0 0 1,740.0000,-740.0000
0 1 0 1 1 0 0 1 0,740.0000,0.0000
0 1 0 1 1 0 0 1 1,740.0000,0.0000
0 1 0 1 1 0 1 0 0,740.0000,-740.0000
0 1 0 1 1 0 1 0 1,740.0000,-740.0000
0 1 0 1 1 0 1 1 0,740.0000,0.0000
0 1 0 1 1 0 1 1 1,740.0000,0.0000
0 1 0 1 1 1 0 0 0,0.0000,-740.0000
0 1 0 1 1 1 0 0 1,0.0000,-740.0000
0 1 0 1 1 1 0 1 0,0.0000,0.0000
0 1 0 1 1 1 0 1 1,0.0000,0.0000
0 1 0 1 1 1 1 0 0,0.0000,-740.0000
0 1 0 1 1 1 1 0 1,0.0000,-740.0000
0 1 0 1 1 1 1 1 0,0.0000,0.0000
0 1 0 1 1 1 1 1 1,0.0000,0.0000
0 1 1 0 0 0 0 0 0,0.0000,-740.0000
0 1 1 0 0 0 0 0 1,0.0000,-740.0000
0 1 1 0 0 0 0 1 0,0.0000,0.0000
0 1 1 0 0 0 0 1 1,0.0000,0.0000
0 1 1 0 0 0 1 0 0,0.0000,-740.0000
0 1 1 0 0 0 1 0 1,0.0000,-740.0000
0 1 1 0 0 0 1 1 0,0.0000,0.0000
0 1 1 0 0 0 1 1 1,0.0000,0.0000
0 1 1 0 0 1 0 0 0,-740.0000,-740.0000
0 1 1 0 0 1 0 0 1,-740.0000,-740.0000
0 1 1 0 0 1 0 1 0,-740.0000,0.0000
0 1 1 0 0 1 0 1 1,-740.0000,0.0000
0 1 1 0 0 1 1 0 0,-740.0000,-740.0000
0 1 1 0 0 1 1 0 1,-740.0000,-740.0000
0 1 1 0 0 1 1 1 0,-740.0000,0.0000
0 1 1 0 0 1 1 1 1,-740.0000,0.0000
0 1 1 0 1 0 0 0 0,0.0000,-740.0000
0 1 1 0 1 0 0 0 1,0.0000,-740.0000
0 1 1 0 1 0 0 1 0,0.0000,0.0000
0 1 1 0 1 0 0 1 1,0.0000,0.0000
0 1 1 0 1 0 1 0 0,0.0000,-740.0000
0 1 1 0 1 0 1 0 1,0.0000,-740.0000
0 1 1 0 1 0 1 1 0,0.0000,0.0000
0 1 1 0 1 0 1 1 1,0.0000,0.0000
0 1 1 0 1 1 0 0 0,-740.0000,-740.0000
0 1 1 0 1 1 0 0 1,-740.0000,-740.0000
0 1 1 0 1 1 0 1 0,-740.0000,0.0000
0 1 1 0 1 1 0 1 1,-740.0000,0.0000
0 1 1 0 1 1 1 0 0,-740.0000,-740.0000
0 1 1 0 1 1 1 0 1,-740.0000,-740.0000
0 1 1 0 1 1 1 1 0,-740.0000,0.0000
0 1 1 0 1 1 1 1 1,-740.0000,0.0000
0 1 1 1 0 0 0 0 0,740.0000,-740.0000
0 1 1 1 0 0 0 0 1,740.0000,-740.0000
0 1 1 1 0 0 0 1 0,740.0000,0.0000
0 1 1 1 0 0 0 1 1,740.0000,0.0000
0 1 1 1 0 0 1 0 0,740.0000,-740.0000
0 1 1 1 0 0 1 0 1,740.0000,-740.0000
0 1 1 1 0 0 1 1 0,740.0000,0.0000
0 1 1 1 0 0 1 1 1,740.0000,0.0000
0 1 1 1 0 1 0 0 0,0.0000,-740.0000
0 1 1 1 0 1 0 0 1,0.0000,-740.0000
0 1 1 1 0 1 0 1 0,0.0000,0.0000
0 1 1 1 0 1 0 1 1,0.0000,0.0000
0 1 1 1 0 1 1 0 0,0.0000,-740.0000
0 1 1 1 0 1 1 0 1,0.0000,-740.0000
0 1 1 1 0 1 1 1 0,0.0000,0.0000
0 1 1 1 0 1 1 1 1,0.0000,0.0000
0 1 1 1 1 0 0 0 0,740.0000,-740.0000
0 1 1 1 1 0 0 0 1,740.0000,-740.0000
0 1 1 1 1 0 0 1 0,740.0000,0.0000
0 1 1 1 1 0 0 1 1,740.0000,0.0000
0 1 1 1 1 0 1 0 0,740.0000,-740.0000
0 1 1 1 1 0 1 0 1,740.0000,-740.0000
0 1 1 1 1 0 1 1 0,740.0000,0.0000
0 1 1 1 1 0 1 1 1,740.0000,0.0000
0 1 1 1 1 1 0 0 0,0.0000,-740.0000
0 1 1 1 1 1 0 0 1,0.0000,-740.0000
0 1 1 1 1 1 0 1 0,0.0000,0.0000
0 1 1 1 1 1 0 1 1,0.0000,0.0000
0 1 1 1 1 1 1 0 0,0.0000,-740.0000
0 1 1 1 1 1 1 0 1,0.0000,-740.0000
0 1 1 1 1 1 1 1 0,0.0000,0.0000
0 1 1 1 1 1 1 1 1,0.0000,0.0000
1 0 0 0 0 0 0 0 0,0.0000,0.0000
1 0 0 0 0 0 0 0 1,0.0000,0.0000
1 0 0 0 0 0 0 1 0,0.0000,740.0000
1 0 0 0 0 0 0 1 1,0.0000,740.0000
1 0 0 0 0 0 1 0 0,0.0000,0.0000
1 0 0 0 0 0 1 0 1,0.0000,0.0000
1 0 0 0 0 0 1 1 0,0.0000,740.0000
1 0 0 0 0 0 1 1 1,0.0000,740.0000
1 0 0 0 0 1 0 0 0,-740.0000,0.0000
1 0 0 0 0 1 0 0 1,-740.0000,0.0000
1 0 0 0 0 1 0 1 0,-740.0000,740.0000
1 0 0 0 0 1 0 1 1,-740.0000,740.0000
1 0 0 0 0 1 1 0 0,-740.0000,0.0000
1 0 0 0 0 1 1 0 1,-740.0000,0.0000
1 0 0 0 0 1 1 1 0,-740.0000,740.0000
1 0 0 0 0 1 1 1 1,-740.0000,740.0000
1 0 0 0 1 0 0 0 0,0.0000,0.0000
1 0 0 0 1 0 0 0 1,0.0000,0.0000
1 0 0 0 1 0 0 1 0,0.0000,740.0000
1 0 0 0 1 0 0 1 1,0.0000,740.0000
1 0 0 0 1 0 1 0 0,0.0000,0.0000
1 0 0 0 1 0 1 0 1,0.0000,0.0000
1 0 0 0 1 0 1 1 0,0.0000,740.0000
1 0 0 0 1 0 1 1 1,0.0000,740.0000
1 0 0 0 1 1 0 0 0,-740.0000,0.0000
1 0 0 0 1 1 0 0 1,-740.0000,0.0000
1 0 0 0 1 1 0 1 0,-740.0000,740.0000
1 0 0 0 1 1 0 1 1,-740.0000,740.0000
1 0 0 0 1 1 1 0 0,-740.0000,0.0000
1 0 0 0 1 1 1 0 1,-740.0000,0.0000
1 0 0 0 1 1 1 1 0,-740.0000,740.0000
1 0 0 0 1 1 1 1 1,-740.0000,740.0000
1 0 0 1 0 0 0 0 0,740.0000,0.0000
1 0 0 1 0 0 0 0 1,740.0000,0.0000
1 0 0 1 0 0 0 1 0,740.0000,740.0000
1 0 0 1 0 0 0 1 1,740.0000,740.0000
1 0 0 1 0 0 1 0 0,740.0000,0.0000
1 0 0 1 0 0 1 0 1,740.0000,0.0000
1 0 0 1 0 0 1 1 0,740.0000,740.0000
1 0 0 1 0 0 1 1 1,740.0000,740.0000
1 0 0 1 0 1 0 0 0,0.0000,0.0000
1 0 0 1 0 1 0 0 1,0.0000,0.0000
1 0 0 1 0 1 0 1 0,0.0000,740.0000
1 0 0 1 0 1 0 1 1,0.0000,740.0000
1 0 0 1 0 1 1 0 0,0.0000,0.0000
1 0 0 1 0 1 1 0 1,0.0000,0.0000
1 0 0 1 0 1 1 1 0,0.0000,740.0000
1 0 0 1 0 1 1 1 1,0.0000,740.0000
1 0 0 1 1 0 0 0 0,740.0000,0.0000
1 0 0 1 1 0 0 0 1,740.0000,0.0000
1 0 0 1 1 0 0 1 0,740.0000,740.0000
1 0 0 1 1 0 0 1 1,740.0000,740.0000
1 0 0 1 1 0 1 0 0,740.0000,0.0000
1 0 0 1 1 0 1 0 1,740.0000,0.0000
1 0 0 1 1 0 1 1 0,740.0000,740.0000
1 0 0 1 1 0 1 1 1,740.0000,740.0000
1 0 0 1 1 1 0 0 0,0.0000,0.0000
1 0 0 1 1 1 0 0 1,0.0000,0.0000
1 0 0 1 1 1 0 1 0,0.0000,740.0000
1 0 0 1 1 1 0 1 1,0.0000,740.0000
1 0 0 1 1 1 1 0 0,0.0000,0.0000
1 0 0 1 1 1 1 0 1,0.0000,0.0000
1 0 0 1 1 1 1 1 0,0.0000,740.0000
1 0 0 1 1 1 1 1 1,0.0000,740.0000
1 0 1 0 0 0 0 0 0,0.0000,0.0000
1 0 1 0 0 0 0 0 1,0.0000,0.0000
1 0 1 0 0 0 0 1 0,0.0000,740.0000
1 0 1 0 0 0 0 1 1,0.0000,740.0000
1 0 1 0 0 0 1 0 0,0.0000,0.0000
1 0 1 0 0 0 1 0 1,0.0000,0.0000
1 0 1 0 0 0 1 1 0,0.0000,740.0000
1 0 1 0 0 0 1 1 1,0.0000,740.0000
1 0 1 0 0 1 0 0 0,-740.0000,0.0000
1 0 1 0 0 1 0 0 1,-740.0000,0.0000
1 0 1 0 0 1 0 1 0,-740.0000,740.0000
1 0 1 0 0 1 0 1 1,-740.0000,740.0000
1 0 1 0 0 1 1 0 0,-740.0000,0.0000
1 0 1 0 0 1 1 0 1,-740.0000,0.0000
1 0 1 0 0 1 1 1 0,-740.0000,740.0000
1 0 1 0 0 1 1 1 1,-740.0000,740.0000
1 0 1 0 1 0 0 0 0,0.0000,0.0000
1 0 1 0 1 0 0 0 1,0.0000,0.0000
1 0 1 0 1 0 0 1 0,0.0000,740.0000
1 0 1 0 1 0 0 1 1,0.0000,740.0000
1 0 1 0 1 0 1 0 0,0.0000,0.0000
1 0 1 0 1 0 1 0 1,0.0000,0.0000
1 0 1 0 1 0 1 1 0,0.0000,740.0000
1 0 1 0 1 0 1 1 1,0.0000,740.0000
1 0 1 0 1 1 0 0 0,-740.0000,0.0000
1 0 1 0 1 1 0 0 1,-740.0000,0.0000
1 0 1 0 1 1 0 1 0,-740.0000,740.0000
1 0 1 0 1 1 0 1 1,-740.0000,740.0000
1 0 1 0 1 1 1 0 0,-740.0000,0.0000
1 0 1 0 1 1 1 0 1,-740.0000,0.0000
1 0 1 0 1 1 1 1 0,-740.0000,740.0000
1 0 1 0 1 1 1 1 1,-740.0000,740.0000
1 0 1 1 0 0 0 0 0,740.0000,0.0000
1 0 1 1 0 0 0 0 1,740.0000,0.0000
1 0 1 1 0 0 0 1 0,740.0000,740.0000
1 0 1 1 0 0 0 1 1,740.0000,740.0000
1 0 1 1 0 0 1 0 0,740.0000,0.0000
1 0 1 1 0 0 1 0 1,740.0000,0.0000
1 0 1 1 0 0 1 1 0,740.0000,740.0000
1 0 1 1 0 0 1 1 1,740.0000,740.0000
1 0 1 1 0 1 0 0 0,0.0000,0.0000
1 0 1 1 0 1 0 0 1,0.0000,0.0000
1 0 1 1 0 1 0 1 0,0.0000,740.0000
1 0 1 1 0 1 0 1 1,0.0000,740.0000
1 0 1 1 0 1 1 0 0,0.0000,0.0000
1 0 1 1 0 1 1 0 1,0.0000,0.0000
1 0 1 1 0 1 1 1 0,0.0000,740.0000
1 0 1 1 0 1 1 1 1,0.0000,740.0000
1 0 1 1 1 0 0 0 0,740.0000,0.0000
1 0 1 1 1 0 0 0 1,740.0000,0.0000
1 0 1 1 1 0 0 1 0,740.0000,740.0000
1 0 1 1 1 0 0 1 1,740.0000,740.0000
1 0 1 1 1 0 1 0 0,740.0000,0.0000
1 0 1 1 1 0 1 0 1,740.0000,0.0000
1 0 1 1 1 0 1 1 0,740.0000,740.0000
1 0 1 1 1 0 1 1 1,740.0000,740.0000
1 0 1 1 1 1 0 0 0,0.0000,0.0000
1 0 1 1 1 1 0 0 1,0.0000,0.0000
1 0 1 1 1 1 0 1 0,0.0000,740.0000
1 0 1 1 1 1 0 1 1,0.0000,740.0000
1 0 1 1 1 1 1 0 0,0.0000,0.0000
1 0 1 1 1 1 1 0 1,0.0000,0.0000
1 0 1 1 1 1 1 1 0,0.0000,740.0000
1 0 1 1 1 1 1 1 1,0.0000,740.0000
1 1 0 0 0 0 0 0 0,0.0000,-740.0000
1 1 0 0 0 0 0 0 1,0.0000,-740.0000
1 1 0 0 0 0 0 1 0,0.0000,0.0000
1 1 0 0 0 0 0 1 1,0.0000,0.0000
1 1 0 0 0 0 1 0 0,0.0000,-740.0000
1 1 0 0 0 0 1 0 1,0.0000,-740.0000
1 1 0 0 0 0 1 1 0,0.0000,0.0000
1 1 0 0 0 0 1 1 1,0.0000,0.0000
1 1 0 0 0 1 0 0 0,-740.0000,-740.0000
1 1 0 0 0 1 0 0 1,-740.0000,-740.0000
1 1 0 0 0 1 0 1 0,-740.0000,0.0000
1 1 0 0 0 1 0 1 1,-740.0000,0.0000
1 1 0 0 0 1 1 0 0,-740.0000,-740.0000
1 1 0 0 0 1 1 0 1,-740.0000,-740.0000
1 1 0 0 0 1 1 1 0,-740.0000,0.0000
1 1 0 0 0 1 1 1 1,-740.0000,0.0000
1 1 0 0 1 0 0 0 0,0.0000,-740.0000
1 1 0 0 1 0 0 0 1,0.0000,-740.0000
1 1 0 0 1 0 0 1 0,0.0000,0.0000
1 1 0 0 1 0 0 1 1,0.0000,0.0000
1 1 0 0 1 0 1 0 0,0.0000,-740.0000
1 1 0 0 1 0 1 0 1,0.0000,-740.0000
1 1 0 0 1 0 1 1 0,0.0000,0.0000
1 1 0 0 1 0 1 1 1,0.0000,0.0000
1 1 0 0 1 1 0 0 0,-740.0000,-740.0000
1 1 0 0 1 1 0 0 1,-740.0000,-740.0000
1 1 0 0 1 1 0 1 0,-740.0000,0.0000
1 1 0 0 1 1 0 1 1,-740.0000,0.0000
1 1 0 0 1 1 1 0 0,-740.0000,-740.0000
1 1 0 0 1 1 1 0 1,-740.0000,-740.0000
1 1 0 0 1 1 1 1 0,-740.0000,0.0000
1 1 0 0 1 1 1 1 1,-740.0000,0.0000
1 1 0 1 0 0 0 0 0,740.0000,-740.0000
1 1 0 1 0 0 0 0 1,740.0000,-740.0000
1 1 0 1 0 0 0 1 0,740.0000,0.0000
1 1 0 1 0 0 0 1 1,740.0000,0.0000
1 1 0 1 0 0 1 0 0,740.0000,-740.0000
1 1 0 1 0 0 1 0 1,740.0000,-740.0000
1 1 0 1 0 0 1 1 0,740.0000,0.0000
1 1 0 1 0 0 1 1 1,740.0000,0.0000
1 1 0 1 0 1 0 0 0,0.0000,-740.0000
1 1 0 1 0 1 0 0 1,0.0000,-740.0000
1 1 0 1 0 1 0 1 0,0.0000,0.0000
1 1 0 1 0 1 0 1 1,0.0000,0.0000
1 1 0 1 0 1 1 0 0,0.0000,-740.0000
1 1 0 1 0 1 1 0 1,0.0000,-740.0000
1 1 0 1 0 1 1 1 0,0.0000,0.0000
1 1 0 1 0 1 1 1 1,0.0000,0.0000
1 1 0 1 1 0 0 0 0,740.0000,-740.0000
1 1 0 1 1 0 0 0 1,740.0000,-740.0000
1 1 0 1 1 0 0 1 0,740.0000,0.0000
1 1 0 1 1 0 0 1 1,740.0000,0.0000
1 1 0 1 1 0 1 0 0,740.0000,-740.0000
1 1 0 1 1 0 1 0 1,740.0000,-740.0000
1 1 0 1 1 0 1 1 0,740.0000,0.0000
1 1 0 1 1 0 1 1 1,740.0000,0.0000
1 1 0 1 1 1 0 0 0,0.0000,-740.0000
1 1 0 1 1 1 0 0 1,0.0000,-740.0000
1 1 0 1 1 1 0 1 0,0.0000,0.0000
1 1 0 1 1 1 0 1 1,0.0000,0.0000
1 1 0 1 1 1 1 0 0,0.0000,-740.0000
1 1 0 1 1 1 1 0 1,0.0000,-740.0000
1 1 0 1 1 1 1 1 0,0.0000,0.0000
1 1 0 1 1 1 1 1 1,0.0000,0.0000
1 1 1 0 0 0 0 0 0,0.0000,-740.0000
1 1 1 0 0 0 0 0 1,0.0000,-740.0000
1 1 1 0 0 0 0 1 0,0.0000,0.0000
1 1 1 0 0 0 0 1 1,0.0000,0.0000
1 1 1 0 0 0 1 0 0,0.0000,-740.0000
1 1 1 0 0 0 1 0 1,0.0000,-740.0000
1 1 1 0 0 0 1 1 0,0.0000,0.0000
1 1 1 0 0 0 1 1 1,0.0000,0.0000
1 1 1 0 0 1 0 0 0,-740.0000,-740.0000
1 1 1 0 0 1 0 0 1,-740.0000,-740.0000
1 1 1 0 0 1 0 1 0,-740.0000,0.0000
1 1 1 0 0 1 0 1 1,-740.0000,0.0000
1 1 1 0 0 1 1 0 0,-740.0000,-740.0000
1 1 1 0 0 1 1 0 1,-740.0000,-740.0000
1 1 1 0 0 1 1 1 0,-740.0000,0.0000
1 1 1 0 0 1 1 1 1,-740.0000,0.0000
1 1 1 0 1 0 0 0 0,0.0000,-740.0000
1 1 1 0 1 0 0 0 1,0.0000,-740.0000
1 1 1 0 1 0 0 1 0,0.0000,0.0000
1 1 1 0 1 0 0 1 1,0.0000,0.0000
1 1 1 0 1 0 1 0 0,0.0000,-740.0000
1 1 1 0 1 0 1 0 1,0.0000,-740.0000
1 1 1 0 1 0 1 1 0,0.0000,0.0000
1 1 1 0 1 0 1 1 1,0.0000,0.0000
1 1 1 0 1 1 0 0 0,-740.0000,-740.0000
1 1 1 0 1 1 0 0 1,-740.0000,-740.0000
1 1 1 0 1 1 0 1 0,-740.0000,0.0000
1 1 1 0 1 1 0 1 1,-740.0000,0.0000
1 1 1 0 1 1 1 0 0,-740.0000,-740.0000
1 1 1 0 1 1 1 0 1,-740.0000,-740.0000
1 1 1 0 1 1 1 1 0,-740.0000,0.0000
1 1 1 0 1 1 1 1 1,-740.0000,0.0000
1 1 1 1 0 0 0 0 0,740.0000,-740.0000
1 1 1 1 0 0 0 0 1,740.0000,-740.0000
1 1 1 1 0 0 0 1 0,740.0000,0.0000
1 1 1 1 0 0 0 1 1,740.0000,0.0000
1 1 1 1 0 0 1 0 0,740.0000,-740.0000
1 1 1 1 0 0 1 0 1,740.0000,-740.0000
1 1 1 1 0 0 1 1 0,740.0000,0.0000
1 1 1 1 0 0 1 1 1,740.0000,0.0000
1 1 1 1 0 1 0 0 0,0.0000,-740.0000
